feed,data_source,kelly_fraction,gamma_target,tail_hedge_trigger,stress_guard_multiple,total_pnl,var_capture,max_drawdown,avg_daily_theta,dd_limit,survived,tuning_survived,profitable,final_bankroll
bates,synthetic,0.05,0.005,0.2,2.0,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.005,0.2,2.5,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.005,0.3,2.0,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.005,0.3,2.5,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.01,0.2,2.0,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.01,0.2,2.5,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.01,0.3,2.0,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
bates,synthetic,0.05,0.01,0.3,2.5,4.035655486390397,-0.015375601555050161,0.0,0.44339982825416996,223.47351344010167,True,True,True,100004.0356554864
gbm,synthetic,0.05,0.005,0.2,2.0,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.005,0.2,2.5,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.005,0.3,2.0,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.005,0.3,2.5,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.01,0.2,2.0,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.01,0.2,2.5,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.01,0.3,2.0,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
gbm,synthetic,0.05,0.01,0.3,2.5,-1.3885393718983323,-0.023377210072698013,1.3885393718983323,0.5145168517350172,259.31649327444865,False,True,False,99998.6114606281
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.0,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.5,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.0,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.5,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.0,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.5,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.0,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.5,17.468637158973138,-0.013775565227955852,0.0,0.5455916034374296,274.97816813246453,True,True,True,100017.46863715898
rough,synthetic,0.05,0.005,0.2,2.0,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.005,0.2,2.5,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.005,0.3,2.0,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.005,0.3,2.5,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.01,0.2,2.0,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.01,0.2,2.5,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.01,0.3,2.0,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
rough,synthetic,0.05,0.01,0.3,2.5,8.978815140149095,-0.02043828210591159,0.0,0.5678287576516364,286.18569385642473,True,True,True,100008.97881514014
